Ende Ablesezeitraum;Messintervall;Abrechnungsmaßeinheit;Verbrauch
2019-01-03T09:30+01:00;QH;KWH;0,02163
2019-01-03T09:45+01:00;QH;KWH;0,04065
2019-01-03T10:00+01:00;QH;KWH;0,03681
2019-01-03T10:15+01:00;QH;KWH;0,06783
2019-01-03T10:30+01:00;QH;KWH;0,04672
2019-01-03T10:45+01:00;QH;KWH;0,04278
2019-01-03T11:00+01:00;QH;KWH;0,00775
2019-01-03T11:15+01:00;QH;KWH;0,02316
2019-01-03T11:30+01:00;QH;KWH;0,01647
2019-01-03T11:45+01:00;QH;KWH;0,02967
2019-01-03T12:00+01:00;QH;KWH;0,04153
2019-01-03T12:15+01:00;QH;KWH;0,07543
2019-01-03T12:30+01:00;QH;KWH;0,03353
2019-01-03T12:45+01:00;QH;KWH;0,05102
2019-01-03T13:00+01:00;QH;KWH;0,04164
2019-01-03T13:15+01:00;QH;KWH;0,04600
2019-01-03T13:30+01:00;QH;KWH;0,02240
2019-01-03T13:45+01:00;QH;KWH;0,04329
2019-01-03T14:00+01:00;QH;KWH;0,02031
2019-01-03T14:15+01:00;QH;KWH;0,04415
2019-01-03T14:30+01:00;QH;KWH;0,01395
2019-01-03T14:45+01:00;QH;KWH;0,05341
2019-01-03T15:00+01:00;QH;KWH;0,03594
2019-01-03T15:15+01:00;QH;KWH;0,02633
2019-01-03T15:30+01:00;QH;KWH;0,00389
2019-01-03T15:45+01:00;QH;KWH;0,01148
2019-01-03T16:00+01:00;QH;KWH;0,03803
2019-01-03T16:15+01:00;QH;KWH;0,06038
2019-01-03T16:30+01:00;QH;KWH;0,05090
2019-01-03T16:45+01:00;QH;KWH;0,07033
2019-01-03T17:00+01:00;QH;KWH;0,06118
2019-01-03T17:15+01:00;QH;KWH;0,08746
2019-01-03T17:30+01:00;QH;KWH;0,00480
2019-01-03T17:45+01:00;QH;KWH;0,03597
2019-01-03T18:00+01:00;QH;KWH;0,04191
2019-01-03T18:15+01:00;QH;KWH;0,05074
2019-01-03T18:30+01:00;QH;KWH;0,06226
2019-01-03T18:45+01:00;QH;KWH;0,06438
2019-01-03T19:00+01:00;QH;KWH;0,06196
2019-01-03T19:15+01:00;QH;KWH;0,09163
2019-01-03T19:30+01:00;QH;KWH;0,07256
2019-01-03T19:45+01:00;QH;KWH;0,09702
2019-01-03T20:00+01:00;QH;KWH;0,06419
2019-01-03T20:15+01:00;QH;KWH;0,03923
2019-01-03T20:30+01:00;QH;KWH;0,03629
2019-01-03T20:45+01:00;QH;KWH;0,05169
